,Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend,Volatility,SMA_21,LMA_34,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
19,2017-06-09,INFY,EQ,956.45,938.55,950.95,923.0,949.0,948.6,937.55,7378831,6918028230.0,161124,3054942,41.4,6,2017,-0.8207433739348624,Slight Negative,0.03299436152169,,,HODL,971.0571428571429,15.475114727334804,1002.0073723118126,940.1069134024733
20,2017-06-12,INFY,EQ,948.6,943.35,965.2,940.1,964.4,963.85,953.95,4295838,4097996731.0,89686,2215716,51.58,6,2017,1.6076323002319317,Positive,0.0385095098271756,966.6261904761903,,HODL,971.5250000000002,15.122191411198369,1001.7693828223969,941.2806171776035
21,2017-06-13,INFY,EQ,963.85,953.5,962.95,951.6,957.95,957.8,958.26,2468897,2365833764.0,69355,1449584,58.71,6,2017,-0.6276910307620565,Slight Negative,0.038871735223162826,966.9238095238094,,HODL,971.7392857142859,14.886379662313736,1001.5120450389134,941.9665263896584
22,2017-06-14,INFY,EQ,957.8,960.0,961.9,951.2,958.5,958.6,957.02,3719055,3559194777.0,90312,2710765,72.89,6,2017,0.08352474420547651,Slight or No Change,0.0373023226074735,967.095238095238,,HODL,969.9750000000003,14.874523263207147,999.7240465264146,940.225953473586
23,2017-06-15,INFY,EQ,958.6,959.65,967.95,949.6,951.35,952.1,956.12,2764031,2642752622.0,67490,1852460,67.02,6,2017,-0.6780721886083918,Slight Negative,0.027882837441709468,967.0619047619045,,HODL,966.8607142857145,13.582301529386035,994.0253173444866,939.6961112269424
24,2017-06-16,INFY,EQ,952.1,949.1,953.85,936.0,937.0,940.25,942.47,5474225,5159269025.0,109487,4241070,77.47,6,2017,-1.244617162062811,Negative,0.024726944485805542,966.038095238095,,HODL,963.6535714285717,14.217695695122957,992.0889628188177,935.2181800383257
25,2017-06-19,INFY,EQ,940.25,939.95,940.25,928.0,930.8,929.85,931.98,3427930,3194759665.0,82075,2297829,67.03,6,2017,-1.1060888061685703,Negative,0.02597351669753371,964.6999999999997,,HODL,958.9142857142859,13.57831173049678,986.0709091752796,931.7576622532923
26,2017-06-20,INFY,EQ,929.85,935.0,946.9,934.05,944.25,943.55,943.01,2592198,2444471885.0,105790,1509148,58.22,6,2017,1.4733559176211217,Positive,0.031219012480017867,963.8476190476187,,HODL,956.5214285714288,13.079089510267101,982.6796075919631,930.3632495508946
27,2017-06-21,INFY,EQ,943.55,945.0,949.0,936.05,948.55,943.35,941.04,1867932,1757791621.0,59945,1286468,68.87,6,2017,-0.021196544963164587,Slight or No Change,0.024540330679183393,963.1833333333329,,HODL,954.5178571428575,12.769338383301195,980.0565339094599,928.979180376255
28,2017-06-22,INFY,EQ,943.35,947.7,968.7,935.1,939.0,940.15,953.78,4732621,4513895878.0,115123,2848768,60.19,6,2017,-0.33921662161446875,Slight or No Change,0.024262982761905187,962.4857142857139,,HODL,952.4250000000002,12.53264583152572,977.4902916630516,927.3597083369488
29,2017-06-23,INFY,EQ,940.15,945.0,949.15,938.0,943.05,943.25,943.77,3201509,3021488880.0,118944,2359021,73.68,6,2017,0.3297346168164683,Slight or No Change,0.024790934613441205,960.5785714285712,,HODL,951.3178571428573,12.615277781978529,976.5484127068144,926.0873015789002
30,2017-06-27,INFY,EQ,943.25,945.0,948.0,923.75,926.0,927.05,929.06,3452330,3207420227.0,113272,2392340,69.3,6,2017,-1.7174662072621305,Negative,0.028846512507068923,957.3095238095235,,HODL,947.5821428571429,11.35659088782387,970.2953246327907,924.8689610814952
31,2017-06-28,INFY,EQ,927.05,932.8,933.0,921.0,924.0,924.7,925.73,2952612,2733310089.0,98295,2094305,70.93,6,2017,-0.25349226039587114,Slight or No Change,0.027004826774259486,954.430952380952,,HODL,944.9678571428574,12.14137248519187,969.2506021132411,920.6851121724736
32,2017-06-29,INFY,EQ,924.7,930.2,947.95,926.6,929.0,930.2,935.13,7957020,7440838110.0,103952,5660732,71.14,6,2017,0.5947874986482082,Slight Positive,0.02592770721474889,951.2880952380949,,HODL,943.0928571428574,12.258119085589025,967.6090953140355,918.5766189716793
33,2017-06-30,INFY,EQ,930.2,930.8,938.0,929.0,934.4,935.55,934.42,2108350,1970090052.0,64325,1526984,72.43,6,2017,0.5751451300795463,Slight Positive,0.02112169138602905,949.3119047619044,956.6338235294115,HODL,942.1607142857144,12.303223132600158,966.7671605509148,917.5542680205141
34,2017-07-03,INFY,EQ,935.55,941.1,955.0,934.6,953.6,951.9,945.66,2544462,2406192366.0,62128,1419172,55.77,7,2017,1.7476350809684238,Positive,0.028271755378463947,948.383333333333,956.6441176470586,HODL,941.3071428571429,11.03152575302069,963.3701943631843,919.2440913511016
35,2017-07-04,INFY,EQ,951.9,953.85,970.0,949.4,961.0,962.15,962.03,2583863,2485762341.0,54690,1493619,57.81,7,2017,1.076793780859342,Positive,0.02904289883056493,948.035714285714,956.8544117647056,HODL,941.6178571428572,11.579451414248572,964.7767599713544,918.4589543143601
36,2017-07-05,INFY,EQ,962.15,959.0,959.0,945.4,952.0,950.9,950.46,2113114,2008422007.0,58308,1201934,56.88,7,2017,-1.1692563529595137,Negative,0.03271751240454207,947.6619047619045,956.7985294117644,HODL,941.0678571428572,10.872046144246983,962.8119494313512,919.3237648543632
37,2017-07-06,INFY,EQ,950.9,945.0,957.0,944.2,946.8,947.0,950.12,1914860,1819345351.0,56849,1143132,59.7,7,2017,-0.4101377642233617,Slight or No Change,0.02608108785886607,946.1214285714284,956.3647058823527,HODL,940.7035714285714,10.554774061745896,961.8131195520632,919.5940233050796
38,2017-07-07,INFY,EQ,947.0,943.85,945.45,933.05,935.1,935.4,938.78,2888443,2711621746.0,98641,2118035,73.33,7,2017,-1.224920802534324,Negative,0.03003396992911317,944.8880952380952,955.7014705882351,HODL,940.3571428571429,10.649970334788112,961.6570835267191,919.0572021875666
39,2017-07-10,INFY,EQ,935.4,945.0,1028.9,937.3,953.3,957.05,953.49,847546,808125207.5,17862,426402,50.31,7,2017,2.3145178533247712,Positive,0.03698970918610428,944.9166666666665,955.5720588235292,HODL,942.3,11.058898261998303,964.4177965239966,920.1822034760033
40,2017-07-11,INFY,EQ,957.05,956.65,989.5,956.65,978.6,975.35,978.98,5769854,5648578195.0,113632,3220051,55.81,7,2017,1.912125803249576,Positive,0.039959187296168236,946.190476190476,956.1029411764705,HODL,944.5714285714286,14.16495831112969,972.9013451936879,916.2415119491692
41,2017-07-12,INFY,EQ,975.35,974.95,981.5,968.75,973.0,972.35,974.41,3137988,3057672504.0,77201,2147850,68.45,7,2017,-0.3075818936791874,Slight or No Change,0.03836642335710826,946.595238095238,956.6191176470588,HODL,946.6428571428571,15.977109312326164,978.5970757675094,914.6886385182048
42,2017-07-13,INFY,EQ,972.35,977.25,983.45,964.1,980.0,977.05,977.0,2585196,2525724825.0,74502,1139208,44.07,7,2017,0.4833650434514336,Slight or No Change,0.03743593051440589,947.5119047619046,956.435294117647,HODL,949.2785714285714,17.767003927827133,984.8125792842256,913.7445635729171
43,2017-07-14,INFY,EQ,977.05,999.45,1006.85,966.05,970.0,972.05,985.55,11239090,11076697426.0,246571,4902877,43.62,7,2017,-0.5117445371270679,Slight Negative,0.03507518384134443,948.1523809523808,955.7397058823528,HODL,951.3357142857142,18.66014292726425,988.6560001402427,914.0154284311857
